"Position","Name","Type","Signal","Label"
"1","PE2","I/O","SPI4_SCK","LCD_ER_SPI4_SCK"
"2","PE3","Output","GPIO_Output","LCD_ER_DC"
"3","PE4","I/O","SPI4_NSS","LCD_ER_SPI4_NSS"
"4","PE5","I/O","SPI4_MISO","LCD_ER_SPI4_MISO"
"5","PE6","I/O","SPI4_MOSI","LCD_ER_SPI4_MOSI"
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN","I/O","",""
"9","PC15-OSC32_OUT","I/O","",""
"10","PF0","I/O","OCTOSPIM_P2_IO0",""
"11","PF1","I/O","OCTOSPIM_P2_IO1",""
"12","PF2","I/O","OCTOSPIM_P2_IO2",""
"13","PF3","I/O","OCTOSPIM_P2_IO3",""
"14","PF4","I/O","OCTOSPIM_P2_CLK",""
"15","PF5","Output","GPIO_Output","HYPER_FLASH_RESET"
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","OCTOSPIM_P1_IO3",""
"19","PF7","I/O","OCTOSPIM_P1_IO2",""
"20","PF8","I/O","OCTOSPIM_P1_IO0",""
"21","PF9","I/O","OCTOSPIM_P1_IO1",""
"22","PF10","I/O","OCTOSPIM_P1_CLK",""
"23","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"24","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"25","NRST","Reset","",""
"26","PC0","I/O","",""
"27","PC1","I/O","OCTOSPIM_P1_IO4",""
"28","PC2_C","I/O","OCTOSPIM_P1_IO5",""
"29","PC3_C","I/O","OCTOSPIM_P1_IO6",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","MonoIO","",""
"33","VDDA","Power","",""
"34","PA0","I/O","SPI6_NSS",""
"35","PA1","I/O","OCTOSPIM_P1_DQS",""
"36","PA2","I/O","USART2_TX",""
"37","PA3","I/O","USART2_RX",""
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","DAC1_OUT1","LIGHT_CTRL_DAC1"
"41","PA5","I/O","SPI6_SCK",""
"42","PA6","I/O","SPI6_MISO",""
"43","PA7","I/O","SPI6_MOSI",""
"44","PC4","I/O","",""
"45","PC5","Output","GPIO_Output","LIGHT_ENABLE"
"46","PB0","I/O","",""
"47","PB1","I/O","",""
"48","PB2","I/O","",""
"49","PF11","I/O","",""
"50","PF12","I/O","OCTOSPIM_P2_DQS",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","",""
"54","PF14","I/O","",""
"55","PF15","I/O","",""
"56","PG0","I/O","OCTOSPIM_P2_IO4",""
"57","PG1","I/O","OCTOSPIM_P2_IO5",""
"58","PE7","I/O","",""
"59","PE8","I/O","",""
"60","PE9","I/O","",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","",""
"64","PE11","I/O","OCTOSPIM_P1_NCS",""
"65","PE12","I/O","",""
"66","PE13","I/O","",""
"67","PE14","I/O","",""
"68","PE15","I/O","",""
"69","PB10","I/O","",""
"70","PB11","I/O","",""
"71","VCAP","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","SPI2_NSS","LCD_MT_SPI2_NSS"
"74","PB13","I/O","SPI2_SCK","LCD_MT_SPI2_SCK"
"75","PB14","I/O","SPI2_MISO","LCD_MT_SPI2_MISO"
"76","PB15","I/O","SPI2_MOSI","LCD_MT_SPI2_MISO"
"77","PD8","Output","GPIO_Output","LCD_MT_DC"
"78","PD9","Output","GPIO_Output","LCD_MT_RESET"
"79","PD10","I/O","",""
"80","PD11","I/O","",""
"81","PD12","I/O","",""
"82","PD13","I/O","",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","",""
"86","PD15","I/O","",""
"87","PG2","I/O","",""
"88","PG3","I/O","",""
"89","PG4","I/O","",""
"90","PG5","I/O","",""
